product_id,mean_service_level_naive,mean_service_level_optimized,p10_service_level_naive,p10_service_level_optimized,service_level_improvement,category,risk_score
P001,0.9911,0.9938,0.9835,0.9853,0.0027000000000000357,electronics,9.4
P002,0.9319,0.9351,0.9219,0.9248,0.0032000000000000917,apparel,2.0
P003,0.8417,0.8391,0.8328,0.8259,-0.0026000000000000467,electronics,3.1
P004,0.9883,0.9909,0.9762,0.9784,0.0026000000000000467,electronics,3.3
P005,0.9779,0.995,0.969,0.9884,0.017100000000000004,apparel,48.4
P006,0.9712,0.9736,0.962,0.9679,0.0024000000000000687,electronics,8.8
P007,0.8976,0.9012,0.8866,0.8867,0.0036000000000000476,apparel,3.1
P008,0.8063,0.8068,0.7961,0.7944,0.0004999999999999449,electronics,87.3
P009,0.9756,0.9981,0.9692,0.9927,0.022499999999999964,staples,87.3
P010,0.9548,0.9547,0.9456,0.9473,-9.999999999998899e-05,staples,87.3
P011,0.9595,0.9628,0.9516,0.9541,0.0032999999999999696,electronics,2.0
P012,0.9849,0.9904,0.9766,0.9778,0.005499999999999949,staples,11.0
P013,0.9643,0.9746,0.9584,0.9661,0.010299999999999976,apparel,82.9
P014,0.8453,0.8428,0.8331,0.8349,-0.0025000000000000577,apparel,3.3
P015,0.9692,0.9961,0.9617,0.9878,0.026900000000000035,staples,87.3
P016,0.9867,0.9907,0.9776,0.9811,0.0040000000000000036,electronics,2.0
P017,0.8247,0.8252,0.8153,0.814,0.000500000000000056,electronics,87.3
P018,0.8409,0.8377,0.8336,0.8242,-0.0031999999999999806,apparel,2.0
P019,0.9647,0.9655,0.9587,0.9572,0.0008000000000000229,apparel,82.9
P020,0.9225,0.9228,0.9123,0.9121,0.00029999999999996696,apparel,2.0
P021,0.9073,0.9066,0.8956,0.8954,-0.0007000000000000339,electronics,2.0
P022,0.844,0.8456,0.8355,0.833,0.0016000000000000458,electronics,35.8
P023,0.9923,0.9938,0.9831,0.9868,0.0015000000000000568,staples,3.1
P024,0.9713,0.9781,0.9628,0.9684,0.006799999999999917,apparel,48.4
P025,0.9415,0.9387,0.9328,0.9279,-0.0028000000000000247,electronics,9.4
P026,0.9846,0.9981,0.9774,0.9919,0.013499999999999956,apparel,35.8
P027,0.8809,0.8779,0.8725,0.8692,-0.0030000000000000027,staples,8.8
P028,0.8437,0.8471,0.8344,0.8337,0.0033999999999999586,staples,8.8
P029,0.9068,0.9041,0.8949,0.8943,-0.0027000000000000357,electronics,2.0
P030,0.917,0.9169,0.9068,0.9069,-9.999999999998899e-05,apparel,2.0
P031,0.8219,0.823,0.8084,0.8127,0.0010999999999999899,staples,11.0
P032,0.9935,0.9943,0.9852,0.9859,0.0007999999999999119,staples,3.3
P033,0.8543,0.852,0.8435,0.8428,-0.0022999999999999687,apparel,48.4
P034,0.9622,0.9602,0.9504,0.9496,-0.0020000000000000018,apparel,11.0
P035,0.8535,0.8565,0.8397,0.8425,0.0030000000000000027,electronics,9.4
P036,0.929,0.9257,0.9174,0.9142,-0.0033000000000000806,apparel,48.4
P037,0.8606,0.8577,0.8466,0.8435,-0.0029000000000000137,staples,3.1
P038,0.8052,0.8076,0.7941,0.7933,0.0023999999999999577,apparel,87.3
P039,0.9923,0.994,0.9835,0.9858,0.0017000000000000348,staples,2.0
P040,0.9247,0.9229,0.9177,0.913,-0.0017999999999999128,apparel,8.8
